file,business_rule
sessions.py,The session is considered permanent if the '_permanent' key is set to true.
sessions.py,The session will not be modified unless the modified attribute is explicitly set to true.
sessions.py,"If the session is empty and modified, the cookie will be deleted from the response."
sessions.py,A null session will be created if the session support cannot be loaded due to a configuration error.
sessions.py,The session cookie name is determined by the 'SESSION_COOKIE_NAME' configuration value.
sessions.py,The session cookie domain is determined by the 'SESSION_COOKIE_DOMAIN' configuration value.
sessions.py,The session cookie path is determined by the 'SESSION_COOKIE_PATH' configuration value or falls back to 'APPLICATION_ROOT' or '/' if not set.
sessions.py,The session cookie will be marked as HttpOnly based on the 'SESSION_COOKIE_HTTPONLY' configuration value.
sessions.py,The session cookie will be marked as secure based on the 'SESSION_COOKIE_SECURE' configuration value.
sessions.py,The SameSite attribute for the session cookie is determined by the 'SESSION_COOKIE_SAMESITE' configuration value.
sessions.py,The session cookie will be partitioned based on the 'SESSION_COOKIE_PARTITIONED' configuration value.
sessions.py,The expiration time for a permanent session is set to the current time plus the application's permanent session lifetime.
sessions.py,A Set-Cookie header will be set if the session has been modified or if it is permanent and 'SESSION_REFRESH_EACH_REQUEST' is true.
sessions.py,"If the session cannot be loaded, the request context will use a null session as a fallback."
provider.py,"The response method requires either positional or keyword arguments, but not both."
provider.py,"If no arguments are provided to the response method, None is serialized."
provider.py,The dumps method uses a default function to serialize objects that are not natively serializable by json.dumps.
provider.py,The ensure_ascii attribute determines whether non-ASCII characters are replaced with escape sequences during serialization.
provider.py,The sort_keys attribute determines whether the keys in serialized dictionaries are sorted.
provider.py,The compact attribute controls the formatting of the response output based on its value and the application's debug mode.
provider.py,The mimetype for the response is set to application/json.
provider.py,The load method reads from a file and deserializes the content as JSON.
provider.py,The dump method serializes data as JSON and writes it to a file that must be opened for writing text with UTF-8 encoding.
__init__.py,"If the current application context is available, the dumps function uses the app's json.dumps method to serialize data."
__init__.py,"If the current application context is not available, the dumps function uses the default parameter for serialization."
__init__.py,"If the current application context is available, the dump function uses the app's json.dump method to serialize data and write it to a file."
__init__.py,"If the current application context is not available, the dump function uses the default parameter for serialization."
__init__.py,"If the current application context is available, the loads function uses the app's json.loads method to deserialize data."
__init__.py,"If the current application context is not available, the loads function uses the standard json.loads method."
__init__.py,"If the current application context is available, the load function uses the app's json.load method to deserialize data from a file."
__init__.py,"If the current application context is not available, the load function uses the standard json.load method."
__init__.py,The jsonify function requires an active application context and uses the app's json.response method to serialize arguments as JSON.
__init__.py,"In debug mode, the output of the jsonify function is formatted with indentation for easier reading."
blueprints.py,"The 'static_folder' must be set to serve static files, otherwise a RuntimeError is raised in the send_static_file method."
blueprints.py,"The maximum age for caching files is determined by the 'SEND_FILE_MAX_AGE_DEFAULT' configuration value, which defaults to None, indicating that the browser should use conditional requests."
blueprints.py,"The open_resource method only allows files to be opened in read mode, and a ValueError is raised if an invalid mode is provided."
cli.py,"The application must be specified using the '--app' option, 'FLASK_APP' environment variable, or a 'wsgi.py' or 'app.py' file in the current directory."
cli.py,"If multiple Flask applications are detected in a module, a NoAppException is raised."
cli.py,"If a factory function is detected but cannot be called without arguments, a NoAppException is raised."
cli.py,"The '--version' option shows the versions of Python, Flask, and Werkzeug."
cli.py,"The '--debug' option sets the app's debug mode, defaulting to False if not provided."
cli.py,"The '--env-file' option loads environment variables from a specified file, taking precedence over '.env' and '.flaskenv'."
cli.py,The '--cert' option must be specified when using the '--key' option.
cli.py,"The '--reload' option enables or disables the reloader, defaulting to enabled if debug is on."
cli.py,"The '--debugger' option enables or disables the debugger, defaulting to enabled if debug is on."
cli.py,The 'run' command starts a local development server and is intended for development purposes only.
cli.py,The 'shell' command runs an interactive Python shell in the context of the Flask application.
cli.py,The 'routes' command shows all registered routes with their endpoints and methods.
cli.py,"The 'routes' command can sort routes by endpoint, methods, domain, or rule."
cli.py,"If no routes are registered, a message indicating this is displayed."
