Area,Ground Truth
Overview,"nopCommerce supports multi-vendor and drop shipping, allowing products from multiple independent vendors to appear in a common product catalog. Each vendor can be assigned an admin portal to manage their own products, review sales reports, and view order details."
Payment & Finance,"All customer payments go to the store administrator's merchant account. The store owner then manually distributes funds to vendors based on order history, which is tracked separately per vendor. The customer only sees one charge from the main company."
Navigation,"To add a new vendor, navigate to Customers → Vendors and click the 'Add new' button. The Vendors window will be displayed."
Vendor Info Panel,"When creating a vendor, the following details must be defined in the Vendor Info panel: Name, Description, Email (used for 'Order placed' notifications), Active status checkbox, Picture upload, and an optional Admin comment for internal use."
Notifications,Some vendor message templates — specifically OrderPaid.VendorNotification and OrderPlaced.VendorNotification — are disabled by default and must be manually enabled.
Portal Access,"Assigning a vendor to a customer record is optional. It is only required if the vendor needs to log in to the administration portal to manage their products, orders, or other data. If not needed, the store owner manages all vendor mappings."
Customer Role,"To assign a vendor to a customer, navigate to Customers → Customers and edit the customer record. In the Customer info panel, the 'Vendors' customer role must be selected in the Customer roles field."
Role Restriction,A vendor customer account cannot belong to the default Administrators customer role. Vendor accounts and administrator accounts are mutually exclusive.
Vendor Mapping,"In the Customer info panel, the 'Manager of vendor' field is used to link the customer to a specific previously created vendor record. Once linked, the customer can log in to the vendor portal and manage products, orders, shipments, and reports."
Navigation,"Vendor settings are configured by navigating to Configuration → Settings → Vendor settings. This page supports multi-store configuration, allowing settings to be defined globally or per store."
Common Panel,"The Common panel in Vendor settings includes a setting to 'Allow customers to apply for vendor account'. When a customer submits a request, it creates a vendor account and notifies the store owner via email. The store owner must then manually add the customer to the 'Vendors' role to grant admin access."
Common Panel,"If the 'Allow customers to apply for vendor account' setting is enabled, an additional option appears to require vendors to accept Terms of Service during registration."
Catalog Panel,"The Catalog panel in Vendor settings allows configuration of the following options: Allow customers to contact vendors via contact forms on vendor detail pages, Allow customers to search by vendor on the advanced search page, Show vendor on the product details page, Show vendor name on the order details page, and set the number of vendors to display in the vendor navigation block."
Custom Attributes,"Administrators can create custom vendor attributes (e.g., business name or website) by clicking 'Add new' in the vendor attributes section. Each attribute requires a Name and a Required flag. If marked Required, vendors must provide a value for this attribute before proceeding."
Navigation,The Dashboard is the first page displayed after logging in to the nopCommerce admin area. It provides a high-level overview of store statistics.
Statistics Overview,"The Dashboard displays the following store statistics: total number of orders processed (by year, month, or week), number of registered customers, count of low-stock products, and the most popular products in the store."
Dashboard Sections,"The Dashboard includes these informational blocks: order diagrams (last week/month/year), customer registration diagrams, order totals summary (last day/week/month/year), orders by status, incomplete orders, latest orders, popular search keywords, and bestsellers by quantity and by amount."
Filters,"The Order Summary report can be filtered by: Start date, End date, Order status (e.g., Complete), Payment status (e.g., Paid), Category, Manufacturer, and Billing country."
Grouping,"The Order Summary report supports grouping results by time period: Day (displays individual dates), Week (displays week date ranges), or Month (displays month/year labels). After selecting filters and grouping, click 'Run report' to generate results."
Navigation,"To view low stock reports, navigate to Reports → Low stock. A low stock report lists all products where current stock quantity falls below the defined minimum stock quantity threshold."
Filtering,"The Low stock report can be filtered by the Published property, which corresponds to the published/unpublished status of the product. From the displayed results, clicking 'View' redirects to the product details page where stock quantity can be updated."
Navigation,"To view bestseller reports, navigate to Reports → Bestsellers. The report breaks down best-selling products based on both units sold and total revenue."
Filters,"The Bestsellers report supports the following search filters: Start date, End date, Store, Order status (All/Pending/Processing/Complete/Cancelled), Payment status (All/Pending/Authorized/Paid/Refunded/Partially refunded/Voided), Category, Manufacturer, Billing country, and Vendor. Click 'Run report' to generate results."
Navigation & Filters,"To view products that have never been purchased, navigate to Reports → Products never purchased. The report can be filtered by Category, Manufacturer, Store, Vendor, Start date, and End date."
Navigation,"To view a country sales report, navigate to Reports → Country sales. Filters include: Start date, End date, Order status, Payment status, and Store. Click 'Run report' to generate results."
Navigation,Customer reports are accessible via Reports → Customer reports. This section provides store owners with general information about registered customers and their order activity.
Report Details,"Navigate to Reports → Customer reports → Registered customers to view the number of customers registered within specific periods: last day, week, two weeks, month, and year."
Report Details,"Navigate to Reports → Customer reports → Customers by order total to view order totals and number of orders per customer. Filters include: Registration Start/End date, Order status, Payment status, and Shipping status. Click 'Run report' to generate results."
Report Details,"Navigate to Reports → Customer reports → Customers by number of orders to view the top 20 customers based on total number of orders placed. Filters include: Registration Start/End date, Order status, and Payment status."
Navigation,"To manage topics, navigate to Content management → Topics (pages). Topics are free-form content blocks that can be displayed on your site either embedded within other pages or on a separate page."
Search,"To search for topics in the topics list, enter the topic text or its fragment in the Search keywords field, or filter by a certain store."
Adding a Topic,"To add a new topic, go to Content management → Topics (pages) and click Add new. In the Info panel, enter the Title and add the topic content using the Body field editor."
URL / SEO,"The URL field is informational only and reflects the topic's public store URL. To change it, edit the Search engine friendly page name field in the SEO panel. If left blank, the URL is formed from the page name."
Display Settings,"In the Display panel, select the Published checkbox to make the topic visible in the public store. A topic can be included in the top menu, footer column 1, footer column 2, footer column 3, and sitemap by selecting the corresponding checkboxes."
Access Control,Select the Password protected checkbox to restrict access to the topic with a password. Customers must enter the password on the topic page to view the content.
Access Control,"Use the Customer roles dropdown to restrict which customer roles can access a topic. To use this functionality, the setting Configuration → Catalog settings → Ignore ACL rules (sitewide) must be disabled."
Multi-Store,"Use the Limited to stores dropdown to restrict which stores display the topic. To use this functionality, the setting Catalog settings → Ignore 'limit per store' rules (sitewide) must be disabled."
Store Closed,Use the Accessible when store closed field to make a topic accessible even when the store is closed.
SEO,"In the SEO panel, enter Meta title, Meta keywords, and Meta description for the topic. The meta description tag is a brief and concise summary of the page content."
System Name,"It is possible to use the same system name for different topics. For example, two topics with the same system name can be made accessible to different customer roles (e.g. Guest vs. Registered), so each group sees different content."
Preview,"While editing an existing topic or after clicking 'Save and continue edit' for a new one, the Preview button can be used to see how the topic will appear in the public store."
Navigation,"To manage blog posts, go to Content management → Blog posts. Click Add new and fill in the information about the new blog post."
Language,"If more than one language is enabled, select the language from the Language dropdown when creating or editing a blog post. Customers will only see blog posts in their selected language."
Blog Post Content,Enter the Title and Body text of the blog post. A Body overview can be specified so only a portion of the text appears on the main blog listing page where all posts are listed.
Tags,"Enter Tags as a comma-separated list of keywords associated with the blog post. These are displayed on the blog page in the public store. The more blog posts associated with a particular tag, the larger it appears in the 'Popular tags' area in the sidebar."
SEO,Enter Meta description for the blog post header. The meta description tag is a brief and concise summary of the page content.
Comments,"To manage blog comments, go to Content management → Blog comments. Use the Approve selected button to approve comments and Disapprove selected to disapprove them. Comments can also be edited or deleted; if deleted, they are permanently removed from the system."
Settings,"Blog settings are managed under Configuration → Settings → Blog settings. This page supports basic and advanced modes, and enables multi-store configuration so settings can differ per store."
Navigation,"To manage news, go to Content management → News items. News is displayed in your store on the home page or in the site footer menu."
Adding a News Item,"To add a new news item, click Add new and fill in the news item information. In the Info panel, if more than one language is enabled, select the language from the Language dropdown. Customers will only see news in their selected language."
News Item Content,"Enter the Title of the news item (e.g., 'The launch of our new nopCommerce store'). Enter a Short description in the Short description field — this is the text visitors see on the news list in the public store."
SEO,Enter a Meta description for the news item header. The meta description tag is a brief and concise summary of the page content.
Comments,"To manage news comments, go to Content management → News comments. Use the Approve selected button to approve comments and Disapprove selected to disapprove them. Comments can also be edited or deleted."
Settings,News settings are managed under Configuration → Settings → News settings. This page supports basic and advanced modes and enables multi-store configuration so settings can differ per store.
Navigation,"To view all polls and add new ones, go to Content management → Polls. To search for polls used in a specific store, select the store name from the list."
Adding a Poll,"To add a new poll, click the Add new button in the top right. If more than one language is enabled, select the language from the Language dropdown. Customers will only see polls in their selected language."
Poll Details,"Enter the descriptive Name of the poll — this is the text customers will see (e.g., 'What do you think about our store?'). Select the Published checkbox to make the poll active."
Display Settings,Select the Show polls on home page checkbox to display the poll on the home page. Select the Allow guests to vote checkbox to enable non-registered users to vote in the poll.
Scheduling,Enter the Start date and End date in Coordinated Universal Time (UTC) to control when the poll is active.
Multi-Store,"Use the Limited to stores field to enable the poll for specific stores only. Leave the field empty to show the poll in all stores. To use this, the Catalog settings → Ignore 'limit per store' rules (sitewide) setting must be disabled."
System Keyword,"In the System keyword field, specify where the poll will be displayed on the storefront. For example, entering 'LeftColumnPoll' places it in the left column widget zone."
Display Order,Enter the Display order for the poll. A value of 1 represents the top of the list.
Poll Answers,"After clicking Save and continue edit, proceed to the Poll answers panel. For each answer, enter the Name that will be displayed to a customer and the Display order (a value of 1 represents the top of the list). Click the Add new record button to save each answer."
Navigation,"To access message templates, go to Content management → Message templates. Several message templates are available by default to notify users and the store owner about order statuses and other events."
Search,"Search for message templates by entering keywords, which are used to search in the name, body, or subject of a template. You can also filter by store (shown when more than one store exists and the 'Ignore limit per store' setting is not active) or by Is active status."
Editing,"Find the message template to edit and click Edit. If more than one language is installed, select the required language tab. By default, only English is used in the system. Languages are managed in Configuration → Language."
Subject & Tokens,Edit the Subject of the message template. Tokens can be included in the subject. The full list of allowed tokens is displayed at the top of the edit page.
Email Account,The Email account dropdown appears when the store has two or more email accounts configured. Email accounts are set up under Configuration → Email accounts.
Active Status & Delay,"Select Is active to indicate the message should be sent. Select the Send immediately checkbox to send the email right away. If Send immediately is not checked, the Delay send field is displayed to configure a send delay."
Attachments,Select the Attached static file checkbox to upload a file that will be attached to every email sent using this template.
Multi-Store,"Use the Limited to stores field to restrict a message template to specific stores only. Leave the field empty for all stores. To use this functionality, the Catalog settings → Ignore 'limit per store' rules (sitewide) setting must be disabled."
Test Email,"Use Send test email to preview a template. Enter an email address in the Send email to field, fill in tokens with test values, then click Send."
Copy Template,"To create a full copy of a message template, click Copy template in the top right of the edit page."
Navigation,"Starting with version 4.90, the main menu and footer navigation can be fully customized by the administrator. To manage menus, navigate to Content management → Menus. From this page, you can edit an existing menu or create a new one."
Menu Type,"When creating a new menu, specify its location using the Menu type field. Options are: Main menu (the primary navigation bar) or Footer (the navigation links in the site footer)."
Main Menu Display Rule,"Multiple Main menu instances can be created, but only one will be displayed on the storefront at any given time, determined by its availability and creation order."
Display All Categories,"The 'Display all categories' setting automatically generates top-level menu items based on the store's categories and their sub-categories. When enabled, these category links appear before any manually created menu items."
