file,business_rule
config.rst,Only uppercase variable names in a Python config file get loaded into the app's config; lowercase names are skipped.
config.rst,"You shouldn't turn DEBUG on or off through code or config at runtime. Use the --debug flag instead, and never enable it in production."
config.rst,"When TESTING is on, exceptions get re-raised instead of being caught by the app's error handlers."
config.rst,"PROPAGATE_EXCEPTIONS is treated as true automatically whenever TESTING or DEBUG is enabled, unless you explicitly say otherwise."
config.rst,"SECRET_KEY is what Flask uses to sign session cookies, and it should never be shared publicly, like in commits or forum posts."
config.rst,SECRET_KEY_FALLBACKS lets you rotate keys without breaking existing sessions. Old keys should eventually be removed since each one adds a bit of overhead when checking signatures.
config.rst,"SESSION_COOKIE_HTTPONLY is on by default, so JavaScript can't read the cookie. SESSION_COOKIE_SECURE is off by default, so the cookie can still be sent over plain HTTP unless you change that."
config.rst,"Turning on SESSION_COOKIE_PARTITIONED automatically turns on SESSION_COOKIE_SECURE too, since partitioned cookies only work over HTTPS."
config.rst,"MAX_CONTENT_LENGTH, MAX_FORM_MEMORY_SIZE, and MAX_FORM_PARTS each cause a 413 error once their limit is crossed. Setting any of them to None turns that particular limit off."
config.rst,"TRUSTED_HOSTS gets checked during routing. If the host doesn't match, Flask raises a SecurityError, which shows up as a 400 response."
config.rst,"SERVER_NAME needs to be set if you're using subdomain matching, or if url_for has to build external URLs outside of a request."
config.rst,"The instance folder is meant to hold deployment specific files that shouldn't be checked into version control. If you pass instance_path yourself, it has to be an absolute path."
config.rst,"from_prefixed_env reads environment variables as JSON by default, so only lowercase true or false count as booleans. You can nest keys by separating them with double underscores."
signals.rst,"Signals are meant for observing what's happening, not for changing it. Subscribers can react to an event, but they can't affect how the app behaves, which is different from something like before_request."
signals.rst,"When you subscribe to a core Flask signal, you should usually specify a sender. If you don't, you'll get that signal from every app running in the process."
signals.rst,"Signal subscriber functions should accept a **extra keyword argument, so they don't break later if Flask adds new arguments to a signal."
signals.rst,"Pick your sender carefully. A class emitting its own signal should pass itself, and a standalone function should pass current_app._get_current_object(). You should never pass the current_app proxy directly, since it isn't the real application object."
signals.rst,"Proxies like g, request, and session are only guaranteed to work between the request_started and request_finished signals."
blueprints.rst,"A Blueprint isn't an application on its own. It's really just a set of instructions that get applied once it's registered, and it can be registered more than once or under different prefixes."
blueprints.rst,"Once a blueprint is registered on an app, there's no way to unregister it without tearing down the whole app object."
blueprints.rst,"Registering a blueprint adds its name as a prefix to each endpoint, separated by a dot. The blueprint's name changes the endpoint, not the URL itself."
blueprints.rst,"A child blueprint inherits its parent's name prefix for endpoints, and its parent's URL prefix or subdomain too."
blueprints.rst,"A blueprint's static folder only works if it has a url_prefix set. Without one, the app's own /static route wins out over it."
blueprints.rst,"Templates from blueprints rank below the app's own templates. If two blueprints happen to use the same template path, whichever one was registered first takes priority."
blueprints.rst,"A blueprint's 404 or 405 error handlers only kick in when they're triggered by an explicit raise or abort() inside that blueprint's own views, not just from someone hitting a bad URL. That's because a blueprint doesn't actually own any URL space."
blueprints.rst,"Hooks like before_request and error handlers set on a parent blueprint carry over to its children. If a child doesn't have its own handler for something, Flask falls back to the parent's."
api.rst,"request, session, g, and current_app are all proxies tied to a context. They only work while the right app or request context is active."
api.rst,"Flask's session object doesn't notice when you mutate something in place, like appending to a list. You need to manually set session.modified = True when that happens."
api.rst,Sessions are stored in a signed cookie that normally disappears when the browser closes. Setting permanent to True keeps it alive for as long as PERMANENT_SESSION_LIFETIME says.
api.rst,"Trailing slashes matter for routing. A route defined with a trailing slash will redirect a request without one to the slash version, and a route without a trailing slash returns a 404 if someone requests it with one."
api.rst,"If a route has a default value and also accepts POST, the version with the default should only handle GET, since a redirect can't carry form data along with it."
api.rst,"Routes default to handling GET, along with HEAD. OPTIONS gets added automatically unless provide_automatic_options is turned off."
api.rst,"A view's endpoint name comes from its function name unless you set one explicitly, and it automatically gets prefixed with the blueprint's name if it's registered through one."
api.rst,"If a view function has a required_methods attribute, Flask will always include those methods on the route, even if you explicitly set different ones in the route() call."
