Area,Ground Truth
Order management,Order management functionality serves as the central hub for operational data in the store.
Order management,"Operational data managed in order management includes orders, payments, shipment processing, inventory updates, and return requests."
Order management - Orders,The 'Orders' chapter provides information on managing customer orders.
Order management - Shipping management,The 'Shipping management' chapter covers the processes related to shipping orders.
Order management - Requests for quote (RFQ),The 'Requests for quote (RFQ)' chapter details how to handle customer requests for quotes.
Order management - Return requests,The 'Return requests' chapter explains the process for managing product returns.
Order management - Shopping carts and wishlists,The 'Shopping carts and wishlists' chapter discusses the management of customer shopping carts and wishlists.
Order management - Inventory management,The 'Inventory management' chapter provides guidance on managing store inventory.
Order management - Checkout attributes,The 'Checkout attributes' chapter outlines the settings related to the checkout process.
Order management - Order settings,The 'Order settings' chapter details the configuration options available for order management.
Order Settings,"To define order settings, go to Configuration → Settings → Order settings."
Order Settings,The Order settings window enables multi-store configuration.
Order Settings - Checkout,The 'Checkout disabled' setting disables the checkout process.
Order Settings - Checkout,The 'Anonymous checkout allowed' setting enables customers to purchase products without registration.
Order Settings - Checkout,The 'Use one page checkout' setting allows customers to buy a product or service on a single webpage.
Order Settings - Checkout,The 'Order totals on payment info tab' setting displays a product list and order totals in the payment info tab.
Order Settings - Checkout,Customers may be required to accept the 'Terms of service' before processing the order on the shopping cart page.
Order Settings - Checkout,Customers may be required to accept the 'Terms of service' before processing the order on the confirm order page.
Order Settings - Checkout,The 'Disable Billing address step' setting pre-fills the billing address using default registration data.
Order Settings - Checkout,The 'Disable Order completed page' setting redirects customers to the order details page after an order is placed.
Order Settings - Checkout,The 'Display Pickup in store' setting shows the pickup option on the shipping method or shipping address page.
Order Settings - Order totals,The 'Min order sub-total amount' setting prevents orders below a specified amount from being issued.
Order Settings - Order totals,The 'Calculate Min order sub-total amount including tax' setting includes tax in the subtotal calculation.
Order Settings - Order totals,The 'Min order total amount' setting prevents orders below a specified total amount from being issued.
Order Settings - Order totals,The 'Auto update order totals' setting automatically updates order totals when editing an order in the admin area.
Order Settings - Common,The 'Order ID counter' setting allows orders to start with a specified number.
Order Settings - Common,The 'Order number mask' setting allows the creation of a custom order number format.
Order Settings - Common,The 'Is re-order allowed' setting enables customers to re-order previous items.
Order Settings - Common,The 'Complete order when delivered' setting marks an order as complete only when its shipping status is delivered.
Order Settings - Common,The 'Export orders with products' setting allows exporting of orders along with their products.
Order Settings - Common,The 'Allow admins to buy Call for price products' setting enables administrators to purchase products marked as 'Call for price'.
Order Settings - Common,The 'Show product thumbnail in order details page' setting displays product thumbnails in the order details.
Order Settings - PDF invoice,The 'Attach PDF invoice' setting can be configured for various order status emails.
Order Settings - Gift cards,The 'Activate gift cards after completing of an order' setting activates related gift cards upon order completion.
Order Settings - Gift cards,The 'Deactivate gift cards after cancelling of an order' setting deactivates related gift cards when an order is canceled.
Order Settings - Gift cards,The 'Deactivate gift cards after deleting of an order' setting deactivates related gift cards when an order is deleted.
Order Settings - Gift cards,The 'Delete gift card usage history after order cancellation' setting removes gift card usage history after an order is canceled.
Order Settings - Return request settings,Return request settings can be configured in the Return request settings panel.
Rfq - Overview,The RFQ functionality allows customers to submit a Request for Quote for products in their shopping cart.
Rfq - Overview,The RFQ feature is useful for negotiating bulk discounts or special pricing.
Rfq - Setup & Configuration,The RFQ plugin can be enabled or disabled with a single setting.
Rfq - Setup & Configuration,Access Control List (ACL) permissions can be configured for both the storefront and admin panel.
Rfq - Customer Workflow,A new button appears on the shopping cart page if the RFQ plugin is active and permitted by ACLs.
Rfq - Customer Workflow,Users can edit their RFQ request before submitting it.
Rfq - Customer Workflow,"Once submitted, the RFQ can no longer be edited by the user."
Rfq - Customer Workflow,Users can manage their RFQs and Quotes from their account section after submission.
Rfq - Customer Workflow,Users receive an email notification when a new quote is sent.
Rfq - Customer Workflow,Users can create an order from an acceptable quote that is not expired.
Rfq - Customer Workflow,"Once a cart is generated from a quote, it enters 'quote mode' and cannot be modified."
Rfq - Customer Workflow,Users can exit quote mode to return to the main store page.
Rfq - Administrator Workflow,Store owners receive an email notification when a user submits an RFQ.
Rfq - Administrator Workflow,Admins can view and manage RFQs and Quotes from the admin panel.
Rfq - Administrator Workflow,"Admins can modify, delete, or cancel an RFQ from the RFQ list."
Rfq - Administrator Workflow,Admins can create a quote directly from an RFQ.
