generated_rule,ground_truth_rule,meteor,rouge1_precision,rouge1_recall,rouge1_fmeasure,rouge2_precision,rouge2_recall,rouge2_fmeasure,rougeL_precision,rougeL_recall,rougeL_fmeasure,bert_precision,bert_recall,bert_f1,cosine_similarity
"As a system, I want to ensure that a session is marked as modified when data is changed, so that the session cookie is written to the response only when necessary.","request, session, g, and current_app are all proxies tied to a context. They only work while the right app or request context is active.",0.15254237288135594,0.1935483870967742,0.24,0.21428571428571427,0.0,0.0,0.0,0.12903225806451613,0.16,0.14285714285714285,0.8635550141334534,0.8525887727737427,0.8580368161201477,0.1947062909603119
"As a system, I want to ensure that a session is marked as modified when data is changed, so that the session cookie is written to the response only when necessary.","Flask's session object doesn't notice when you mutate something in place, like appending to a list. You need to manually set session.modified = True when that happens.",0.17080745341614909,0.2903225806451613,0.3103448275862069,0.30000000000000004,0.0,0.0,0.0,0.1935483870967742,0.20689655172413793,0.19999999999999998,0.873008131980896,0.8712201714515686,0.8721131682395935,0.4613592028617859
"As a system, I want to ensure that a session is marked as modified when data is changed, so that the session cookie is written to the response only when necessary.",Sessions are stored in a signed cookie that normally disappears when the browser closes. Setting permanent to True keeps it alive for as long as PERMANENT_SESSION_LIFETIME says.,0.18644067796610167,0.3225806451612903,0.3448275862068966,0.33333333333333337,0.0,0.0,0.0,0.16129032258064516,0.1724137931034483,0.16666666666666669,0.8644579648971558,0.8281568884849548,0.8459181785583496,0.4047263264656067
"As a system, I want to ensure that a session is marked as modified when data is changed, so that the session cookie is written to the response only when necessary.","Trailing slashes matter for routing. A route defined with a trailing slash will redirect a request without one to the slash version, and a route without a trailing slash returns a 404 if someone requests it with one.",0.14490089758906965,0.12903225806451613,0.10526315789473684,0.11594202898550723,0.03333333333333333,0.02702702702702703,0.029850746268656716,0.12903225806451613,0.10526315789473684,0.11594202898550723,0.8580623865127563,0.8384429216384888,0.848139226436615,-0.032389577478170395
"As a system, I want to ensure that a session is marked as modified when data is changed, so that the session cookie is written to the response only when necessary.","If a route has a default value and also accepts POST, the version with the default should only handle GET, since a redirect can't carry form data along with it.",0.14705882352941177,0.1935483870967742,0.1935483870967742,0.1935483870967742,0.0,0.0,0.0,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.8615611791610718,0.8535680174827576,0.8575460314750671,0.20760062336921692
"As a system, I want to ensure that a session is marked as modified when data is changed, so that the session cookie is written to the response only when necessary.","Routes default to handling GET, along with HEAD. OPTIONS gets added automatically unless provide_automatic_options is turned off.",0.09345794392523364,0.06451612903225806,0.10526315789473684,0.07999999999999999,0.0,0.0,0.0,0.06451612903225806,0.10526315789473684,0.07999999999999999,0.8408465385437012,0.8375341892242432,0.8391870856285095,0.14228038489818573
"As a system, I want to ensure that a session is marked as modified when data is changed, so that the session cookie is written to the response only when necessary.","A view's endpoint name comes from its function name unless you set one explicitly, and it automatically gets prefixed with the blueprint's name if it's registered through one.",0.09063444108761329,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.0,0.0,0.0,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.8570976257324219,0.8389029502868652,0.8479027152061462,-0.0586811900138855
"As a system, I want to ensure that a session is marked as modified when data is changed, so that the session cookie is written to the response only when necessary.","If a view function has a required_methods attribute, Flask will always include those methods on the route, even if you explicitly set different ones in the route() call.",0.13595166163141995,0.12903225806451613,0.13793103448275862,0.13333333333333333,0.0,0.0,0.0,0.12903225806451613,0.13793103448275862,0.13333333333333333,0.8618332147598267,0.854093611240387,0.8579459190368652,0.08986533433198929
"As a system, I want to return a null session if the session support cannot be loaded due to a configuration error, so that the application can handle session lookups without crashing.","request, session, g, and current_app are all proxies tied to a context. They only work while the right app or request context is active.",0.16147873290730433,0.125,0.16,0.14035087719298245,0.03225806451612903,0.041666666666666664,0.03636363636363637,0.125,0.16,0.14035087719298245,0.8567337989807129,0.8504103422164917,0.8535603880882263,0.2860948443412781
"As a system, I want to return a null session if the session support cannot be loaded due to a configuration error, so that the application can handle session lookups without crashing.","Flask's session object doesn't notice when you mutate something in place, like appending to a list. You need to manually set session.modified = True when that happens.",0.1234567901234568,0.1875,0.20689655172413793,0.19672131147540986,0.03225806451612903,0.03571428571428571,0.03389830508474576,0.125,0.13793103448275862,0.13114754098360656,0.8637999892234802,0.8584386110305786,0.8611109852790833,0.16088953614234924
"As a system, I want to return a null session if the session support cannot be loaded due to a configuration error, so that the application can handle session lookups without crashing.",Sessions are stored in a signed cookie that normally disappears when the browser closes. Setting permanent to True keeps it alive for as long as PERMANENT_SESSION_LIFETIME says.,0.13468013468013468,0.21875,0.2413793103448276,0.22950819672131145,0.0,0.0,0.0,0.15625,0.1724137931034483,0.1639344262295082,0.8517998456954956,0.8168640732765198,0.8339662551879883,0.335590660572052
"As a system, I want to return a null session if the session support cannot be loaded due to a configuration error, so that the application can handle session lookups without crashing.","Trailing slashes matter for routing. A route defined with a trailing slash will redirect a request without one to the slash version, and a route without a trailing slash returns a 404 if someone requests it with one.",0.14814814814814814,0.25,0.21052631578947367,0.22857142857142856,0.03225806451612903,0.02702702702702703,0.029411764705882353,0.15625,0.13157894736842105,0.14285714285714285,0.8608361482620239,0.8421331644058228,0.8513819575309753,0.00016155012417584658
"As a system, I want to return a null session if the session support cannot be loaded due to a configuration error, so that the application can handle session lookups without crashing.","If a route has a default value and also accepts POST, the version with the default should only handle GET, since a redirect can't carry form data along with it.",0.14619883040935672,0.25,0.25806451612903225,0.25396825396825395,0.0,0.0,0.0,0.15625,0.16129032258064516,0.15873015873015875,0.8604906797409058,0.8509342074394226,0.8556857705116272,0.17671744525432587
"As a system, I want to return a null session if the session support cannot be loaded due to a configuration error, so that the application can handle session lookups without crashing.","Routes default to handling GET, along with HEAD. OPTIONS gets added automatically unless provide_automatic_options is turned off.",0.0925925925925926,0.0625,0.10526315789473684,0.0784313725490196,0.0,0.0,0.0,0.0625,0.10526315789473684,0.0784313725490196,0.8389375805854797,0.8362900018692017,0.8376116752624512,0.15079085528850555
"As a system, I want to return a null session if the session support cannot be loaded due to a configuration error, so that the application can handle session lookups without crashing.","A view's endpoint name comes from its function name unless you set one explicitly, and it automatically gets prefixed with the blueprint's name if it's registered through one.",0.09009009009009009,0.09375,0.0967741935483871,0.09523809523809523,0.0,0.0,0.0,0.0625,0.06451612903225806,0.06349206349206349,0.853452205657959,0.8365014791488647,0.8448918461799622,0.027902895584702492
"As a system, I want to return a null session if the session support cannot be loaded due to a configuration error, so that the application can handle session lookups without crashing.","If a view function has a required_methods attribute, Flask will always include those methods on the route, even if you explicitly set different ones in the route() call.",0.13513513513513514,0.15625,0.1724137931034483,0.1639344262295082,0.0,0.0,0.0,0.125,0.13793103448275862,0.13114754098360656,0.8565728664398193,0.8502475619316101,0.8533984422683716,0.08972861617803574
"As a system, I want to set the session cookie only if the session has been modified or if it is permanent and the SESSION_REFRESH_EACH_REQUEST config is true, so that unnecessary cookies are not set.","request, session, g, and current_app are all proxies tied to a context. They only work while the right app or request context is active.",0.20066889632107024,0.2631578947368421,0.4,0.3174603174603174,0.0,0.0,0.0,0.15789473684210525,0.24,0.19047619047619047,0.8454814553260803,0.8647971153259277,0.8550302386283875,0.24681490659713745
"As a system, I want to set the session cookie only if the session has been modified or if it is permanent and the SESSION_REFRESH_EACH_REQUEST config is true, so that unnecessary cookies are not set.","Flask's session object doesn't notice when you mutate something in place, like appending to a list. You need to manually set session.modified = True when that happens.",0.19493865030674845,0.21052631578947367,0.27586206896551724,0.23880597014925373,0.0,0.0,0.0,0.18421052631578946,0.2413793103448276,0.208955223880597,0.8480945825576782,0.8711491823196411,0.8594673275947571,0.43159162998199463
"As a system, I want to set the session cookie only if the session has been modified or if it is permanent and the SESSION_REFRESH_EACH_REQUEST config is true, so that unnecessary cookies are not set.",Sessions are stored in a signed cookie that normally disappears when the browser closes. Setting permanent to True keeps it alive for as long as PERMANENT_SESSION_LIFETIME says.,0.21739130434782608,0.34210526315789475,0.4482758620689655,0.3880597014925373,0.0,0.0,0.0,0.15789473684210525,0.20689655172413793,0.17910447761194026,0.8579614758491516,0.8553506135940552,0.8566540479660034,0.5440049767494202
